Unnamed: 0,filename,len_in_sec,sr,num_hops,OVRL_raw,SIG_raw,BAK_raw,OVRL,SIG,BAK,P808_MOS
25876,/data/datasets/LRS3/trainval/0bop3D7SdDM/50003.wav,5.248,16000,1,4.3248734,4.58255,4.6570487,3.6046674696978553,3.8363935056135134,4.242220215793057,3.7336123
12145,/data/datasets/LRS3/trainval/HALd9FY5SVQ/50012.wav,4.992,16000,1,4.322187,4.572238,4.5894094,3.60324260326103,3.8317315529771943,4.215726939649986,3.8096418
12155,/data/datasets/LRS3/trainval/HALd9FY5SVQ/50005.wav,5.184,16000,1,4.2890897,4.503007,4.639068,3.585608335186768,3.799970709693488,4.235295071756732,3.896829
15408,/data/datasets/LRS3/trainval/unSnvLgyf3o/50004.wav,5.504,16000,2,4.2862806,4.5303392,4.6468687,3.583996017266492,3.8124871959382807,4.238105869971825,3.4926667
28958,/data/datasets/LRS3/trainval/9SQYDFiWnSs/50021.wav,4.224,16000,7,4.281116,4.5530553,4.54073,3.581197554424888,3.822890672677342,4.195791419639797,3.6313245
5314,/data/datasets/LRS3/trainval/xfDUGqGPSfo/50003.wav,4.672,16000,1,4.2733493,4.5301714,4.5391994,3.5771698179118245,3.812528796640044,4.195281354915172,4.062894
12191,/data/datasets/LRS3/trainval/HALd9FY5SVQ/50017.wav,1.856,16000,5,4.270147,4.513239,4.605361,3.5753281358042748,3.804580383084788,4.221991305079866,3.737739
2811,/data/datasets/LRS3/trainval/8xHrpO6p7dE/50005.wav,5.056,16000,1,4.2649326,4.4820895,4.557509,3.5726438440521493,3.790216165718725,4.20281395354024,3.5075889
21443,/data/datasets/LRS3/trainval/IfjI0tVUpbc/50004.wav,5.888,16000,2,4.264429,4.489648,4.616068,3.5720933979866647,3.793423987167112,4.225951733261104,3.7585526
20725,/data/datasets/LRS3/trainval/N4wFyRGilp4/50009.wav,4.352,16000,8,4.2484903,4.4359164,4.6783595,3.5636777093633327,3.768365740927714,4.250182898293286,3.7148623
13202,/data/datasets/LRS3/trainval/fW6AndSUByo/50002.wav,2.688,16000,1,4.2470775,4.4327526,4.577195,3.563010660070393,3.766917527548986,4.21081441214961,3.6051283
941,/data/datasets/LRS3/trainval/8JSMI8Xrwms/50010.wav,2.368,16000,1,4.2340455,4.5181623,4.527909,3.5559524478575,3.806992271505133,4.190592398837277,3.5730083
5439,/data/datasets/LRS3/trainval/oXSyMUeAEec/50016.wav,5.184,16000,1,4.232305,4.473881,4.5033364,3.5550080636821915,3.786368052270592,4.180271481593998,3.6646242
1788,/data/datasets/LRS3/trainval/h0C2LPXaEW4/50014.wav,6.144,16000,3,4.2240887,4.442056,4.5877194,3.5504736793426086,3.771314673985591,4.214988481402437,3.6308062
6380,/data/datasets/LRS3/trainval/Svo01ldlTQc/50004.wav,1.408,16000,2,4.2226033,4.4618416,4.4923277,3.549571918017703,3.780551682210288,4.175555032895014,3.2248244
30119,/data/datasets/LRS3/trainval/icI94blMKIc/50005.wav,6.208,16000,3,4.2183022,4.454465,4.5633435,3.5472772241016006,3.777110927249292,4.205087946508795,3.8116343
23776,/data/datasets/LRS3/trainval/UyQIKwSPZGM/50001.wav,4.992,16000,1,4.21723,4.4903326,4.516107,3.546810991812206,3.7940689856399423,4.185655270998892,3.7146814
18338,/data/datasets/LRS3/trainval/lwz8KvS9NRA/50001.wav,5.248,16000,1,4.2158666,4.4937987,4.4926867,3.546068199861576,3.795685647429844,4.175749000336144,3.6500251
16517,/data/datasets/LRS3/trainval/1Yz7Snu6pnI/50011.wav,6.08,16000,3,4.2122936,4.451605,4.597073,3.544042589353112,3.7757510840727377,4.218749042027006,3.7960656
512,/data/datasets/LRS3/trainval/88SlA2EZxtY/50006.wav,5.056,16000,1,4.2094493,4.4628806,4.538212,3.542568321260799,3.7811936355389504,4.194872574303359,3.717093
25497,/data/datasets/LRS3/trainval/7PwvGfs6Pok/50001.wav,4.736,16000,1,4.209235,4.399412,4.4916115,3.5424514585509423,3.7509415120556224,4.175290718348924,3.531436
26177,/data/datasets/LRS3/trainval/ISjk9ni4XWk/50010.wav,4.672,16000,1,4.2067385,4.4583936,4.580288,3.541088209621124,3.7790771208050074,4.212062032628627,3.450213
10988,/data/datasets/LRS3/trainval/kTz52RWSbD0/50005.wav,2.496,16000,1,4.206411,4.4655466,4.5226474,3.54090927917817,3.782449572318897,4.188395868373688,3.3475614
1749,/data/datasets/LRS3/trainval/WaGq9XwSVys/50001.wav,6.208,16000,3,4.206038,4.4336376,4.5796204,3.5406344779464223,3.767278680920494,4.21160806235272,3.873912
27294,/data/datasets/LRS3/trainval/PJUIXSpLoVk/50001.wav,5.696,16000,2,4.2065377,4.474966,4.492198,3.540605553423636,3.7863934595637954,4.175153321041353,3.7997403
12308,/data/datasets/LRS3/trainval/1rTEOU67zCo/50011.wav,5.952,16000,2,4.203981,4.4181533,4.5261908,3.5395687259486084,3.759925769893069,4.189774741507209,4.0451813
23185,/data/datasets/LRS3/trainval/SC3DVeWT09w/50006.wav,6.08,16000,3,4.202836,4.4634604,4.514479,3.538955055470669,3.7814640527425856,4.1849447775214506,3.7206948
18182,/data/datasets/LRS3/trainval/MZbhgk4S7dA/50003.wav,3.328,16000,4,4.2026696,4.465663,4.515745,3.5388326183682706,3.7824775826217447,4.185489204755629,3.388856
